"Timestamp","What is your main occupation?","Select main country or region of your workplace in past 5 years. [among the countries in Top500 list as of Nov. 2018. If you cannot find your country or region, please specify.]","Rate your overall programming skill (non-MPI programs):","Rate your MPI programming skill:","What programming language(s) do you use most often?","How long have you been writing computer programs (incl. non-MPI programs)?","How long have you been writing MPI programs?","Which fields are you mostly working in?","What is your major role at your place of work?","Have you ever read the MPI standard specification document?","How did you learn MPI?","Which MPI book(s) have you read?","Which MPI implementations do you use?","Why did you choose the MPI implementation(s)? [Select most suitable one]","How do you check MPI specifications when you are writing MPI programs?","What is the most difficult part of writing an MPI program?","Which MPI features have you never heard of?","What aspects of the MPI standard do you use in your program in its current form?","Which MPI thread support are you using?","What are your obstacles to mastering MPI?","When you call an MPI routine, how often do you check the error code of the MPI routine  (excepting MPI-IO)?","In most of your programs, do you pack MPI function calls into their own file or files to have your own abstraction layer for communication?","Have you ever written MPI+”X” programs? If so, select all that apply.","Is there any room for performance tuning in your MPI programs? Select most suitable one.","What, if any, alternatives are you investigating to indirectly call MPI or another communication layer by using another parallel language/library?","If there were one communication aspect which is not enough in the current MPI could improve the performance of your application, what would you prioritize? Or is MPI providing all the communication semantics required by your application? If not, what is missing?","Is MPI providing all the communication semantics required by your application? If not, what is missing?","What MPI feature(s) are NOT useful for you application?","Do you think the MPI standard should maintain backward compatibility?","In the tradeoff between code portability and performance, which is more or less important for you to write MPI programs? [""1"" means portability is the most important and ""3"" means both are equally important.]"
"2019/02/27 1:27:42 PM AST","Governmental institute","United States","6","4","C/C++;Python","between 5 and 10 years","between 5 and 10 years","Numerical application and/or library","Research and development of application(s)","I read only the chapters of interest for my work.","I had lecture(s) at school.;I read articles found on Internet.","I have never read any MPI books","Open MPI;IBM MPI (BG/Q, PE, Spectrum)","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Debugging","Dynamic process creation;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;MPI with OpenMP (or multithread)","MPI_THREAD_SERIALIZED","Incomplete specifications that leave room for interpretation and force me to look into implementation source code therefore worrying me about portability across implementations","Mostly","Yes, to minimize the changes of communication API.","OpenMP;CUDA","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","Multi-threading support","MPI is providing all the communication semantics required by my application","There are no unnecessary features","I prefer to have new API for better performance.","3"
"2019/02/27 1:28:27 PM AST","College/University","Poland","5","3","C/C++;Fortran (older one than Fortran 90);Fortran 90 or newer","more than 10 years","between 5 and 10 years","Numerical application and/or library","Research and development of application(s)","I read only the chapters of interest for my work.","I read book(s).;Other lectures or tutorials (workplace, conference).","Parallel Programming with MPI;Using MPI","MPICH;Open MPI;Cray MPI","I could not have any choice (the one provided by a vendor).","I read book(s) (except the MPI standard).;I read online documents (such as man pages).","Algorithm design","","Collective communications;MPI datatypes;MPI with OpenMP (or multithread)","MPI_THREAD_MULTIPLE","No appropriate lecture / book / info.","Always","Yes, but I have no special reason for doing that.","No","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","Multi-threading support","","There are no unnecessary features","API should be clearly versioned.","3"
"2019/02/27 1:38:58 PM AST","Governmental institute","United States","4","4","C/C++","more than 10 years","more than 10 years","Numerical application and/or library","Research and development software tool(s)","I read only the chapters of interest for my work.","I read the MPI standard document.;I read book(s).;I read articles found on Internet.","Using MPI","Open MPI","I am familiar with it.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).","Algorithm design","Dynamic process creation;MPI with OpenMP (or multithread)","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes","MPI_THREAD_SINGLE;MPI_THREAD_MULTIPLE","No appropriate lecture / book / info.;I do not like the API.","Sometimes","No, MPI calls are scattered in my programs.","OpenMP;CUDA","Yes, I know there is room for tuning but I do not have enough resources to do that.","A framework or library using MPI.","Optimization opportunities except communication (architecture awareness, dynamic processing, accelerator support, etc.)","","","I prefer to have new API which is simpler and/or easier-to-use.","4"
"2019/02/27 2:10:09 PM AST","College/University","France","5","5","C/C++;Java;Python","more than 10 years","more than 10 years","System software development (OS, runtime library, communication library, etc.);Numerical application and/or library","Research and development of application(s);Research and development software tool(s);Parallelization of sequential program(s)","I have not read it, but I plan to.","I read articles found on Internet.","I have never read any MPI books","MPICH;Open MPI","I am familiar with it.","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Debugging","Communicator operations (split, duplicate, and so on);Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;MPI datatypes;MPI with OpenMP (or multithread)","I have never called MPI_INIT_THREAD;I do not know or I do not care.","No appropriate lecture / book / info.","Always","No, MPI calls are scattered in my programs.","OpenMP;CUDA","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","MPI is providing all the communication semantics required by my application","Process topologies;Dynamic process creation","Yes, compatibility is very important for me.","5"
"2019/02/27 2:15:28 PM AST","College/University","Portugal","4","3","C/C++;Java;Python","more than 10 years","between 2 and 5 years","Parallel language (incl. domain specific language);Tool development (performance tuning, debugging, etc.)","Research and development of application(s);Research and development on system software (OS and/or runtime library);Parallelization of sequential program(s)","I read only the chapters of interest for my work.","I had lecture(s) at school.;I read articles found on Internet.","Parallel Programming with MPI","Open MPI","I am familiar with it.","I read the MPI Standard document (web/book).","Debugging","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes","I have never called MPI_INIT_THREAD;I do not know or I do not care.","","Sometimes","Yes, to minimize the changes of communication API.","No","I do not know how to find bottlenecks.","A framework or library using MPI.","Latency","Latency hiding (including asynchronous completion)","One-sided communication","Yes, compatibility is very important for me.","3"
"2019/02/27 2:23:50 PM AST","Governmental institute","France","6","3","C/C++;Python","more than 10 years","between 2 and 5 years","Numerical application and/or library","Researcher","I have not read it, but I plan to.","I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","","MPICH;Open MPI;Intel MPI","I am familiar with it.","I read book(s) (except the MPI standard).;I read online documents (such as man pages).;I ask colleagues.;I search the Internet (Google / Stack Overflow).","Debugging","Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;Dynamic process creation","MPI_THREAD_SINGLE","Too complicated and hard to understand.;I have nobody to ask.","Mostly","Yes, to minimize the changes of communication API.","No","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","MPI provides all semantics I need","","Process topologies","Yes, compatibility is very important for me.","3"
"2019/02/27 2:50:22 PM AST","Private research institute","belgium","5","4","C/C++;Python","more than 10 years","more than 10 years","Numerical application and/or library","Research and development of application(s)","No, and I will not read it.","I read articles found on Internet.","I have never read any MPI books","MPICH;Open MPI;MVAPICH;Intel MPI;IBM MPI (BG/Q, PE, Spectrum)","I could not have any choice (the one provided by a vendor).","I read online documents (such as man pages).;I know almost all MPI routines.","Performance tuning","Dynamic process creation","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;MPI with OpenMP (or multithread)","","","Mostly","Yes, to minimize the changes of communication API.","OpenMP","","A framework or library using MPI.","","Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","Process topologies;Dynamic process creation","Yes, compatibility is very important for me.","3"
"2019/02/27 2:51:30 PM AST","Governmental institute","United States","5","4","C/C++","between 5 and 10 years","less than 2 years","Numerical application and/or library","Research and development of application(s)","I read only the chapters of interest for my work.","I had lecture(s) at school.","","Intel MPI","I like to use it.","I read online documents (such as man pages).","Domain decomposition","Point-to-point communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;Persistent communication","Communicator operations (split, duplicate, and so on)","I do not know or I do not care.","No appropriate lecture / book / info.;Too complicated and hard to understand.;incomplete specifications","I rely on the default ‘Errors abort’ error handling","Yes, but I have no special reason for doing that.","No","I do not have (know) tools to find performance bottlenecks.","I am not investigating any alternatives.","","","","I do not know or I do not care.","3"
"2019/02/27 2:54:19 PM AST","College/University","France","6","5","C/C++;Python","more than 10 years","between 5 and 10 years","System software development (OS, runtime library, communication library, etc.);Numerical application and/or library","Parallelization of sequential program(s)","I read most of it.","I read the MPI standard document.;I had lecture(s) at school.","MPI: The Complete Reference","MPICH;Open MPI;MVAPICH;Intel MPI","I am familiar with it.","I read the MPI Standard document (web/book).","Algorithm design","","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;Persistent communications;MPI with OpenMP (or multithread)","MPI_THREAD_SERIALIZED;MPI_THREAD_MULTIPLE","I have no obstacles.","Always","Yes, to minimize the changes of communication API.","OpenMP;Pthread","Yes, I know there is room for tuning but I do not have enough resources to do that.","A framework or library using MPI.","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","MPI is providing all the communication semantics required by my application","One-sided communication;Process topologies","API should be clearly versioned.","3"
"2019/02/27 2:55:00 PM AST","College/University","Russia","2","2","C/C++;Fortran 90 or newer;Python","more than 10 years","less than 2 years","System software development (OS, runtime library, communication library, etc.);Parallel language (incl. domain specific language);Big data","Research and development of application(s);Research and development on system software (OS and/or runtime library);Research and development software tool(s);Parallelization of sequential program(s)","","I read the MPI standard document.","I have never read any MPI books","I do not know","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).","Algorithm design","Point-to-point communications","Collective communications;Dynamic process creation","MPI_THREAD_SINGLE;MPI_THREAD_SERIALIZED","I have no obstacles.","","Yes, to minimize the changes of communication API.","OpenCL","I do not have (know) tools to find performance bottlenecks.","A PGAS language (UPC, Coarray Fortran, OpenSHMEM, XcalableMP, ...).","Bandwidth","Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","Process topologies","I prefer to have new API which is simpler and/or easier-to-use.","3"
"2019/02/27 3:00:33 PM AST","College/University","France","4","4","Java;Python","more than 10 years","more than 10 years","System software development (OS, runtime library, communication library, etc.);Big data;Tool development (performance tuning, debugging, etc.)","Research and development of application(s);Performance tuning of MPI program(s)","I read only the chapters of interest for my work.","I read the MPI standard document.;I read book(s).;I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","Parallel Programming in C with MPI and OpenMP;MPI: The Complete Reference","MPICH;Open MPI","I am familiar with it.","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Debugging","Dynamic process creation","Point-to-point communications;Collective communications;MPI datatypes;MPI with OpenMP (or multithread)","I do not know or I do not care.","Today I use it only occasionally","Mostly","Yes, but I have no special reason for doing that.","OpenMP","Yes, I know there is room for tuning but I do not have enough resources to do that.","I am not investigating any alternatives.","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","Resilience (fault tolerance);Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","There are no unnecessary features","I prefer to have new API which is simpler and/or easier-to-use.","2"
"2019/02/27 3:10:13 PM AST","Private research institute","United States","5","2","C/C++","between 5 and 10 years","between 5 and 10 years","Numerical application and/or library","Research and development of application(s);Research and development software tool(s)","No, and I will not read it.","Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","","Open MPI;IBM MPI (BG/Q, PE, Spectrum)","I am familiar with it.","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Debugging","Dynamic process creation","Point-to-point communications;Collective communications;MPI with OpenMP (or multithread)","MPI_THREAD_SERIALIZED","I do not like the API.","Never","Yes, to minimize the changes of communication API.","OpenMP;CUDA","I think there is room but I do not know how to tune it.","A framework or library using MPI.","","MPI is providing all the communication semantics required by my application","There are no unnecessary features","I prefer to have new API which is simpler and/or easier-to-use.","1"
"2019/02/27 3:52:26 PM AST","College/University","France","5","3","C/C++;Java","more than 10 years","between 2 and 5 years","System software development (OS, runtime library, communication library, etc.);Parallel language (incl. domain specific language);Big data","Research and development of application(s)","I have not read it, but I plan to.","I read book(s).;Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","Using MPI","MPICH;Open MPI;mpi4py","I was said to use it.","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Implementation issue workaround","PMPI interface","Point-to-point communications;Collective communications;MPI datatypes;Dynamic process creation;MPI with OpenMP (or multithread)","I do not know or I do not care.","No appropriate lecture / book / info.","Sometimes","Yes, to minimize the changes of communication API.","OpenMP","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","A framework or library using MPI.","MPI provides all semantics I need","Resilience (fault tolerance)","There are no unnecessary features","API should be clearly versioned.","3"
"2019/02/27 5:08:19 PM AST","College/University","Russia","5","4","C/C++;Java;Python","between 5 and 10 years","between 2 and 5 years","System software development (OS, runtime library, communication library, etc.);Parallel language (incl. domain specific language);Numerical application and/or library;AI (Deep Learning);Image processing;Tool development (performance tuning, debugging, etc.)","Research and development of application(s);Research and development on system software (OS and/or runtime library)","I read only the chapters of interest for my work.","I read the MPI standard document.;I had lecture(s) at school.;I read articles found on Internet.","","MPICH;Open MPI;Intel MPI;MS MPI","I have no special reason.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Debugging","One-sided communications;Dynamic process creation;Persistent communication","Point-to-point communications;Collective communications;MPI datatypes;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_MULTIPLE","I have no obstacles.","Always","Yes, to minimize the changes of communication API.","OpenMP;Pthread;CUDA","Yes, I know there is room for tuning but I do not have enough resources to do that.","A framework or library using MPI.;NCCL","MPI provides all semantics I need","MPI is providing all the communication semantics required by my application","There are no unnecessary features","API should be clearly versioned.","4"
"2019/02/27 5:16:44 PM AST","Other","France","5","3","C/C++;Python","between 5 and 10 years","between 5 and 10 years","Numerical application and/or library;Big data;Visualization","Research and development of application(s);Parallelization of sequential program(s);Performance tuning of MPI program(s);Debugging MPI programs","I have not read it, but I plan to.","I had lecture(s) at school.;I read articles found on Internet.","Using MPI","Open MPI;Intel MPI","I like to use it.","I read online documents (such as man pages).;I ask colleagues.;I search the Internet (Google / Stack Overflow).","Algorithm design","PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;MPI with OpenMP (or multithread)","MPI_THREAD_FUNNELED;MPI_THREAD_SERIALIZED;MPI_THREAD_MULTIPLE","Too many routines.;Too complicated and hard to understand.;I do not like the API.","Never","Yes, to minimize the changes of communication API.","OpenMP","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","Task-based runtime systems","Optimization opportunities except communication (architecture awareness, dynamic processing, accelerator support, etc.)","Latency hiding (including asynchronous completion);Endpoints (multi-thread, sessions);Resilience (fault tolerance);Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","Process topologies","I prefer to have new API which is simpler and/or easier-to-use.","4"
"2019/02/27 5:17:18 PM AST","Other","France","6","6","C/C++;C# (through c bindings) ","more than 10 years","more than 10 years","Parallel language (incl. domain specific language);Numerical application and/or library;Big data;Workflow and/or In-situ;Visualization;Tool development (performance tuning, debugging, etc.)","Research and development of application(s);Research and development on system software (OS and/or runtime library);Research and development software tool(s);Parallelization of sequential program(s);Performance tuning of MPI program(s);Debugging MPI programs","I read only the chapters of interest for my work.","I read the MPI standard document.;I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","I have never read any MPI books","MPICH;Open MPI;Intel MPI;MS MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I ask colleagues.;I search the Internet (Google / Stack Overflow).;I know almost all MPI routines.","Performance tuning","PMPI interface","Point-to-point communications;Collective communications;MPI datatypes;Persistent communications;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_SERIALIZED;MPI_THREAD_MULTIPLE","I have no obstacles.;I do not like the API.","Always","Yes, to minimize the changes of communication API.","OpenMP;Pthread;CUDA;Tbb","Yes, I know there is room for tuning but I do not have enough resources to do that.","A framework or library using MPI.;A Domain Specific Language (DSL).;Task runtimes such as starpu","Latency","Resilience (fault tolerance);Additional optimization opportunities in terms of communication (topology awareness, locality, etc.);Possibility to dynamically change the communicators topology upon machine failure or addition","There are no unnecessary features","I prefer to have new API for better performance.","3"
"2019/02/27 8:07:31 PM AST","Governmental institute","Korea, South","6","5","Fortran (older one than Fortran 90)","more than 10 years","more than 10 years","Numerical application and/or library","Research and development of application(s)","I read all.","I read book(s).","Parallel Programming with MPI;Parallel Programming in C with MPI and OpenMP","Intel MPI","I have no special reason.","I read online documents (such as man pages).","Performance tuning","Dynamic process creation","Point-to-point communications","I have never called MPI_INIT_THREAD","I have no obstacles.","I rely on the default ‘Errors abort’ error handling","No, my program is too small to do that.","OpenMP","No, my MPI programs are well-tuned.","A framework or library using MPI.","Latency","Latency hiding (including asynchronous completion)","Dynamic process creation;Error handlers","Yes, compatibility is very important for me.","4"
"2019/02/27 8:41:17 PM AST","Governmental institute","Korea, South","5","3","C/C++;Python","more than 10 years","less than 2 years","Parallel language (incl. domain specific language);AI (Deep Learning);Image processing","Research and development of application(s);Parallelization of sequential program(s)","I read only the chapters of interest for my work.","I read articles found on Internet.","I have never read any MPI books","Open MPI","I have no special reason.","I search the Internet (Google / Stack Overflow).","Performance tuning","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_MULTIPLE","Too many routines.;Too complicated and hard to understand.","Never","No, MPI calls are scattered in my programs.","OpenMP;CUDA","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","A framework or library using MPI.","Latency","Latency hiding (including asynchronous completion);Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","There are no unnecessary features","Yes, compatibility is very important for me.","4"
"2019/02/27 8:45:24 PM AST","Governmental institute","Japan","5","4","C/C++;Fortran 90 or newer;Python","more than 10 years","more than 10 years","Numerical application and/or library","Research and development of application(s)","I read only the chapters of interest for my work.","I read book(s).;Other lectures or tutorials (workplace, conference).","Using MPI;MPI: The Complete Reference","Open MPI;Fujistu MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I read book(s) (except the MPI standard).;I read online documents (such as man pages).","","","Point-to-point communications;Collective communications;MPI with OpenMP (or multithread)","MPI_THREAD_SERIALIZED","I have no obstacles.","Never","No, MPI calls are scattered in my programs.","OpenMP","Yes, I know there is room for tuning but I do not have enough resources to do that.","A framework or library using MPI.","","","There are no unnecessary features","Yes, compatibility is very important for me.","3"
"2019/02/27 8:46:52 PM AST","Governmental institute","Korea, South","3","3","","between 5 and 10 years","less than 2 years","System software development (OS, runtime library, communication library, etc.);Tool development (performance tuning, debugging, etc.)","Research and development of application(s)","","I read book(s).;I read articles found on Internet.","Beginning MPI (An Introduction in C)","Open MPI;Intel MPI","I was said to use it.","I read book(s) (except the MPI standard).","Finding appropriate MPI routines","Dynamic process creation","MPI with OpenMP (or multithread)","MPI_THREAD_MULTIPLE","I have no obstacles.","I rely on the default ‘Errors abort’ error handling","Yes, to minimize the changes of communication API.","No","I do not know how to find bottlenecks.","I am not investigating any alternatives.","Optimization opportunities except communication (architecture awareness, dynamic processing, accelerator support, etc.)","Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","Dynamic process creation","I do not know or I do not care.","4"
"2019/02/27 8:57:30 PM AST","College/University","Korea, South","6","4","C/C++;Fortran 90 or newer","more than 10 years","more than 10 years","Numerical application and/or library","Research and development of application(s)","I read only the chapters of interest for my work.","I read book(s).","Parallel Programming with MPI","Open MPI;Intel MPI","I like to use it.","I read the MPI Standard document (web/book).","Implementation issue workaround","Dynamic process creation;Persistent communication","Point-to-point communications;Collective communications;MPI datatypes;One-sided communications","I have never called MPI_INIT_THREAD","I have no obstacles.","","No, MPI calls are scattered in my programs.","No","No, my MPI programs are well-tuned.","I am not investigating any alternatives.","Bandwidth","MPI is providing all the communication semantics required by my application","There are no unnecessary features","Yes, compatibility is very important for me.","2"
"2019/02/27 9:07:13 PM AST","Governmental institute","Korea, South","4","2","C/C++;Python","more than 10 years","less than 2 years","Numerical application and/or library","Data Scientist","I read only the chapters of interest for my work.","I read articles found on Internet.","I have never read any MPI books","Open MPI;Intel MPI","I was said to use it.","","Algorithm design","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);One-sided communications;Dynamic process creation;Persistent communication;PMPI interface","MPI with OpenMP (or multithread)","I do not know or I do not care.","No appropriate lecture / book / info.;Too complicated and hard to understand.;I have nobody to ask.","Never","No, my program is too small to do that.","No","I think there is room but I do not know how to tune it.","I am not investigating any alternatives.","Multi-threading support","Another API which is easier and/or simpler to use","","I do not know or I do not care.","1"
"2019/02/27 9:08:13 PM AST","Governmental institute","Korea, South","5","4","C/C++;Java","between 5 and 10 years","less than 2 years","System software development (OS, runtime library, communication library, etc.);Parallel language (incl. domain specific language)","Research and development on system software (OS and/or runtime library)","I read only the chapters of interest for my work.","I read book(s).;Other lectures or tutorials (workplace, conference).","MPI 병렬 프로그래밍","Open MPI;MVAPICH","I have no special reason.","I read the MPI Standard document (web/book).;I read book(s) (except the MPI standard).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Performance tuning","Communicator operations (split, duplicate, and so on);Persistent communication;PMPI interface","Point-to-point communications;Collective communications;MPI datatypes","I do not know or I do not care.","I have nobody to ask.","I rely on the default ‘Errors abort’ error handling","No, my program is too small to do that.","OpenMP","I do not know if there is room for performance tuning.","I am not investigating any alternatives.","Optimization opportunities except communication (architecture awareness, dynamic processing, accelerator support, etc.)","Another API which is easier and/or simpler to use","There are no unnecessary features","Yes, compatibility is very important for me.","5"
"2019/02/27 9:15:22 PM AST","Governmental institute","Korea, South","4","4","Fortran 90 or newer","between 5 and 10 years","between 5 and 10 years","Numerical application and/or library","Research and development of application(s)","I have not read it, but I plan to.","Other lectures or tutorials (workplace, conference).","MPI 병렬 프로그래밍","Intel MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).","Finding appropriate MPI routines","PMPI interface","Communicator operations (split, duplicate, and so on)","MPI_THREAD_SERIALIZED","No appropriate lecture / book / info.","Always","Yes, to minimize the changes of communication API.","No","I think there is room but I do not know how to tune it.","I am not investigating any alternatives.","MPI provides all semantics I need","MPI is providing all the communication semantics required by my application","There are no unnecessary features","Yes, compatibility is very important for me.","5"
"2019/02/27 9:19:00 PM AST","College/University","Korea, South","6","5","Fortran 90 or newer","more than 10 years","between 5 and 10 years","Numerical application and/or library;Big data","Research and development of application(s)","I have not read it, but I plan to.","I read book(s).;I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).","Parallel Programming with MPI;Using MPI","Open MPI;MVAPICH;Intel MPI","I like to use it.","I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Domain decomposition","Dynamic process creation;PMPI interface","Point-to-point communications;Collective communications;MPI datatypes;One-sided communications;MPI with OpenMP (or multithread)","I have never called MPI_INIT_THREAD","No appropriate lecture / book / info.","Always","Yes, but I have no special reason for doing that.","OpenMP","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","I am not investigating any alternatives.","Multi-threading support","Endpoints (multi-thread, sessions)","There are no unnecessary features","Yes, compatibility is very important for me.","5"
"2019/02/27 9:26:14 PM AST","Private research institute","France","3","3","C/C++;Python","more than 10 years","more than 10 years","System software development (OS, runtime library, communication library, etc.)","Research and development of application(s)","I have not read it, but I plan to.","I have not learned MPI.","","I do not know","I have no special reason.","I search the Internet (Google / Stack Overflow).","Performance tuning","Collective communications","Point-to-point communications;Collective communications","I do not know or I do not care.","I do not like the API.","Never","Yes, but I have no special reason for doing that.","Pthread","I have no chance to investigate.","I am not investigating any alternatives.","Additional optimization opportunities in terms of communication (network topology awareness, etc.)","Another API which is easier and/or simpler to use","One-sided communication","API should be clearly versioned.","5"
"2019/02/27 9:26:22 PM AST","Governmental institute","Korea, South","4","2","C/C++;Python","more than 10 years","more than 10 years","System software development (OS, runtime library, communication library, etc.);Tool development (performance tuning, debugging, etc.)","Research and development of application(s);Research and development on system software (OS and/or runtime library)","I have not read it, but I plan to.","I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).","I have never read any MPI books","MPICH;MVAPICH","I have no special reason.","I search the Internet (Google / Stack Overflow).","Debugging","Communicator operations (split, duplicate, and so on);One-sided communications;Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;MPI datatypes","I do not know or I do not care.","I do not like the API.","I rely on the default ‘Errors abort’ error handling","No, MPI calls are scattered in my programs.","No","No, my MPI programs are well-tuned.","I am not investigating any alternatives.","","","","","3"
"2019/02/27 9:38:32 PM AST","College/University","Korea, South","5","5","Fortran (older one than Fortran 90);Fortran 90 or newer","between 5 and 10 years","between 5 and 10 years","cfd","Research and development of application(s)","I read only the chapters of interest for my work.","I read book(s).;I read articles found on Internet.","","MVAPICH","I have no special reason.","I search the Internet (Google / Stack Overflow).","Debugging","","Point-to-point communications;Collective communications","I do not know or I do not care.","I have no obstacles.","Mostly","Yes, to minimize the changes of communication API.","OpenMP;CUDA","Yes, I know there is room for tuning but I should re-write large part of my program to do that.","I am not investigating any alternatives.","Bandwidth","Additional optimization opportunities in terms of communication (topology awareness, locality, etc.)","There are no unnecessary features","I do not know or I do not care.","3"
"2019/02/27 9:48:53 PM AST","College/University","Korea, South","6","5","C/C++;Python","more than 10 years","more than 10 years","Numerical application and/or library","Research and development of application(s)","I read only the chapters of interest for my work.","I read book(s).;I had lecture(s) at school.;Other lectures or tutorials (workplace, conference).","MPI: The Complete Reference","MPICH;Open MPI;MVAPICH;Intel MPI","I could not have any choice (the one provided by a vendor).","I read the MPI Standard document (web/book).;I read online documents (such as man pages).;I search the Internet (Google / Stack Overflow).","Debugging","Dynamic process creation;Persistent communication;PMPI interface","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;One-sided communications;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_FUNNELED","No appropriate lecture / book / info.;I have nobody to ask.","Mostly","Yes, to minimize the changes of communication API.","OpenMP","No, my MPI programs are well-tuned.","I am not investigating any alternatives.","Multi-threading support","Endpoints (multi-thread, sessions);Another API which is easier and/or simpler to use","Error handlers","I prefer to have new API for better performance.","5"
"2019/02/27 9:49:08 PM AST","Governmental institute","Korea, South","5","5","C/C++;Fortran (older one than Fortran 90);Fortran 90 or newer;Python","more than 10 years","more than 10 years","Parallel language (incl. domain specific language);Numerical application and/or library","Research and development of application(s);Parallelization of sequential program(s);Performance tuning of MPI program(s)","I read only the chapters of interest for my work.","I read the MPI standard document.;Other lectures or tutorials (workplace, conference).;I read articles found on Internet.","Parallel Programming in C with MPI and OpenMP","Open MPI;MVAPICH;Intel MPI","I am familiar with it.","I read the MPI Standard document (web/book).;I read online documents (such as man pages).","Performance tuning","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;MPI with OpenMP (or multithread)","Point-to-point communications;Collective communications;Communicator operations (split, duplicate, and so on);MPI datatypes;MPI with OpenMP (or multithread)","MPI_THREAD_SINGLE;MPI_THREAD_FUNNELED","No appropriate lecture / book / info.;finding examples for the new and advanced functions","Sometimes","Yes, but I have no special reason for doing that.","OpenMP","Application performance varies according to the combination of MPI functions, so it is highly required to select apropriate ones.","I am not investigating any alternatives.","Latency","Latency hiding (including asynchronous completion);Another API which is easier and/or simpler to use","Dynamic process creation","I prefer to have new API which is simpler and/or easier-to-use.","4"
